time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-03T18:23:14.890Z,40.1156654,-123.7638321,20.3,1.64,md,10,153,0.09621,0.12,nc,nc73241631,2019-08-03T18:24:50.667Z,"5km E of Redway, CA",earthquake,1.03,0.57,0.16,4,automatic,nc,nc
2019-08-03T18:23:06.650Z,35.9321667,-117.6978333,4.16,0.62,ml,10,87,0.04159,0.24,ci,ci38688743,2019-08-03T18:26:41.733Z,"19km E of Little Lake, CA",earthquake,0.59,1.14,0.193,5,automatic,ci,ci
2019-08-03T18:21:52.840Z,35.8725,-117.7065,6.82,0.87,ml,12,86,0.0795,0.17,ci,ci38688735,2019-08-03T18:25:40.669Z,"19km ESE of Little Lake, CA",earthquake,0.39,0.82,0.189,10,automatic,ci,ci
2019-08-03T18:18:58.600Z,35.8931667,-117.7031667,6.38,1.18,ml,19,85,0.06942,0.13,ci,ci38688727,2019-08-03T18:22:38.556Z,"19km ESE of Little Lake, CA",earthquake,0.24,0.6,0.125,16,automatic,ci,ci
2019-08-03T18:18:07.410Z,35.6718333,-117.4758333,1.53,0.9,ml,16,63,0.04299,0.21,ci,ci38688719,2019-08-03T18:21:35.019Z,"12km SSW of Searles Valley, CA",earthquake,0.38,0.6,0.086,11,automatic,ci,ci
2019-08-03T18:12:05.130Z,36.1928333,-117.8746667,1.91,1.53,ml,17,61,0.07679,0.23,ci,ci38688703,2019-08-03T18:15:49.418Z,"15km SE of Olancha, CA",earthquake,0.43,0.75,0.18,21,automatic,ci,ci
2019-08-03T18:11:27.327Z,52.2718,-165.7009,21.99,5.2,mww,,64,1.867,0.92,us,us60005083,2019-08-03T18:29:12.040Z,"186km SSE of Unalaska, Alaska",earthquake,7.5,4.2,0.05,38,reviewed,us,us
2019-08-03T18:05:53.250Z,36.0795,-117.8548333,2.21,1.17,ml,12,133,0.038,0.11,ci,ci38688687,2019-08-03T18:09:29.460Z,"9km ENE of Coso Junction, CA",earthquake,0.3,0.25,0.243,15,automatic,ci,ci
2019-08-03T17:59:55.500Z,36.092,-117.8423333,1.96,0.94,ml,11,119,0.02747,0.15,ci,ci38688679,2019-08-03T18:03:30.341Z,"11km ENE of Coso Junction, CA",earthquake,0.46,0.31,0.134,8,automatic,ci,ci
2019-08-03T17:57:10.090Z,35.7565,-117.6248333,9.22,1.32,ml,21,123,0.1206,0.18,ci,ci38688655,2019-08-03T18:07:41.600Z,"16km NNE of Ridgecrest, CA",earthquake,0.31,1.14,0.175,19,automatic,ci,ci
2019-08-03T17:49:22.040Z,36.1193333,-117.8881667,5.07,0.87,ml,10,195,0.02702,0.11,ci,ci38688631,2019-08-03T17:53:06.281Z,"10km NNE of Coso Junction, CA",earthquake,0.59,0.49,0.226,8,automatic,ci,ci
2019-08-03T17:43:58.510Z,36.153,-117.9011667,1.26,1.02,ml,11,205,0.05152,0.31,ci,ci38688607,2019-08-03T17:47:31.776Z,"13km NNE of Coso Junction, CA",earthquake,1.19,1,0.274,9,automatic,ci,ci
2019-08-03T17:37:11.470Z,35.9305,-89.9275,13.91,2.3,md,23,79,0.0811,0.09,nm,nm60086728,2019-08-03T18:11:03.020Z,"0km WNW of Blytheville, Arkansas",earthquake,0.26,0.43,0.189,17,reviewed,nm,nm
2019-08-03T17:15:30.140Z,35.9398333,-117.6958333,3.37,0.65,ml,10,97,0.09934,0.15,ci,ci38688543,2019-08-03T17:19:06.319Z,"19km E of Little Lake, CA",earthquake,0.41,1.54,0.124,4,automatic,ci,ci
2019-08-03T17:05:31.100Z,35.55,-117.5301667,3.65,1.28,ml,20,60,0.05818,0.17,ci,ci38688519,2019-08-03T17:09:21.027Z,"15km ESE of Ridgecrest, CA",earthquake,0.29,0.74,0.177,20,automatic,ci,ci
2019-08-03T17:03:51.840Z,38.8264999,-122.7786636,1.34,0.62,md,9,88,0.007902,0.02,nc,nc73241616,2019-08-03T17:20:19.351Z,"5km W of Cobb, CA",earthquake,0.36,0.53,0.35,2,automatic,nc,nc
2019-08-03T17:00:53.820Z,35.564,-117.3345,2.18,2.32,ml,32,65,0.04602,0.19,ci,ci38688511,2019-08-03T17:11:26.020Z,"23km S of Trona, CA",earthquake,0.25,0.39,0.133,25,automatic,ci,ci
2019-08-03T16:55:03.050Z,35.8518333,-117.695,4.76,1.8,ml,27,69,0.07134,0.2,ci,ci38688495,2019-08-03T17:05:22.700Z,"21km ESE of Little Lake, CA",earthquake,0.3,0.75,0.153,26,automatic,ci,ci
2019-08-03T16:48:47.660Z,35.829,-117.6365,6.36,1.95,ml,28,61,0.1063,0.22,ci,ci38688487,2019-08-03T16:59:19.300Z,"22km WNW of Searles Valley, CA",earthquake,0.3,1.09,0.126,26,automatic,ci,ci
2019-08-03T16:48:21.560Z,36.1845,-117.9996667,1.18,1.88,ml,16,74,0.1349,0.2,ci,ci38688479,2019-08-03T16:52:14.809Z,"11km S of Olancha, CA",earthquake,0.34,0.92,0.214,24,automatic,ci,ci
2019-08-03T16:43:19.180Z,35.6676667,-117.5213333,7.98,1.9,ml,26,52,0.05989,0.16,ci,ci38688471,2019-08-03T16:47:08.772Z,"15km ENE of Ridgecrest, CA",earthquake,0.3,0.66,0.078,14,automatic,ci,ci
2019-08-03T16:42:54.980Z,35.5945,-117.4056667,1.9,1.77,ml,27,43,0.04676,0.23,ci,ci38688463,2019-08-03T16:54:12.650Z,"19km S of Trona, CA",earthquake,0.32,0.4,0.152,25,automatic,ci,ci
2019-08-03T16:39:56.430Z,35.9321667,-117.7078333,2.67,0.7,ml,10,139,0.09079,0.19,ci,ci38688447,2019-08-03T16:43:29.237Z,"18km E of Little Lake, CA",earthquake,0.79,0.73,0.085,5,automatic,ci,ci
2019-08-03T16:35:03.080Z,35.9293333,-117.7205,4.52,1.33,ml,18,117,0.08137,0.18,ci,ci38688439,2019-08-03T16:38:41.834Z,"17km E of Little Lake, CA",earthquake,0.43,0.76,0.137,16,automatic,ci,ci
2019-08-03T16:18:24.870Z,31.6863327,-115.8098297,7.29,2.4,ml,14,171,0.2949,0.15,ci,ci38688423,2019-08-03T16:22:05.518Z,"72km E of Maneadero, B.C., MX",earthquake,1.19,1.86,0.248,20,automatic,ci,ci
2019-08-03T16:12:15.670Z,35.6691667,-117.4801667,1.55,1.88,ml,22,60,0.04617,0.15,ci,ci38688407,2019-08-03T16:23:02.630Z,"13km SSW of Searles Valley, CA",earthquake,0.24,0.37,0.117,27,automatic,ci,ci
2019-08-03T16:11:43.650Z,35.736,-117.5725,1.73,1.02,ml,17,131,0.1137,0.2,ci,ci38688391,2019-08-03T16:15:31.512Z,"16km WSW of Searles Valley, CA",earthquake,0.41,0.6,0.081,9,automatic,ci,ci
2019-08-03T16:09:30.760Z,35.6414986,-117.4598312,2.28,1.22,ml,18,90,0.1399,0.1,ci,ci38688375,2019-08-03T16:13:17.464Z,"15km SSW of Searles Valley, CA",earthquake,0.42,0.69,0.21,5,automatic,ci,ci
2019-08-03T16:04:46.870Z,33.9426667,-116.6236667,13.43,1.27,ml,35,46,0.0386,0.17,ci,ci38688367,2019-08-03T16:15:54.410Z,"8km WNW of Garnet, CA",earthquake,0.21,0.54,0.223,28,automatic,ci,ci
2019-08-03T15:45:37.520Z,36.7003,-116.2835,6.8,0.2,ml,11,122.2,0.076,0.21,nn,nn00698625,2019-08-03T16:44:32.947Z,"48km ESE of Beatty, Nevada",earthquake,,1.1,,,automatic,nn,nn
2019-08-03T15:44:01.920Z,35.6706667,-117.5626667,7.15,1.51,ml,23,47,0.0488,0.17,ci,ci38688327,2019-08-03T15:47:57.318Z,"12km ENE of Ridgecrest, CA",earthquake,0.29,0.62,0.215,21,automatic,ci,ci
2019-08-03T15:34:23.230Z,35.6775,-117.541,4.35,1.26,ml,18,53,0.05989,0.19,ci,ci38688319,2019-08-03T15:38:05.258Z,"14km ENE of Ridgecrest, CA",earthquake,0.31,0.8,0.145,17,automatic,ci,ci
2019-08-03T15:33:31.330Z,35.6785,-117.5375,4.78,0.82,ml,16,109,0.06194,0.16,ci,ci38688311,2019-08-03T15:37:10.251Z,"14km ENE of Ridgecrest, CA",earthquake,0.35,0.62,0.09,8,automatic,ci,ci
2019-08-03T15:20:05.640Z,35.7681667,-117.5846667,9.61,0.87,ml,17,135,0.152,0.23,ci,ci38688287,2019-08-03T15:23:39.164Z,"16km W of Searles Valley, CA",earthquake,0.67,1.65,0.138,9,automatic,ci,ci
2019-08-03T15:14:04.310Z,18.538,-64.8363,22,2.53,md,4,344,1.0872,0.33,pr,pr2019215011,2019-08-03T17:55:14.420Z,"23km NNE of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.89,27.99,0.26,4,reviewed,pr,pr
2019-08-03T14:53:10.410Z,33.437,-116.9273333,0.98,0.86,ml,14,87,0.2036,0.32,ci,ci38688263,2019-08-03T14:56:55.538Z,"6km W of Aguanga, CA",earthquake,0.89,5.61,0.381,13,automatic,ci,ci
2019-08-03T14:44:07.580Z,37.6473351,-118.8498306,5.44,0.68,md,9,121,0.0145,0.02,nc,nc73241536,2019-08-03T16:45:03.712Z,"11km E of Mammoth Lakes, CA",earthquake,0.74,2.64,0.27,9,automatic,nc,nc
2019-08-03T14:41:22.510Z,35.6645,-117.4478333,4.59,1.02,ml,20,75,0.01968,0.18,ci,ci38688247,2019-08-03T14:45:06.009Z,"12km SSW of Searles Valley, CA",earthquake,0.32,0.47,0.125,11,automatic,ci,ci
2019-08-03T14:36:36.720Z,35.6085,-117.5946667,4.19,0.99,ml,20,62,0.02482,0.16,ci,ci38688239,2019-08-03T14:40:18.566Z,"8km E of Ridgecrest, CA",earthquake,0.3,0.47,0.208,11,automatic,ci,ci
2019-08-03T14:34:17.470Z,35.632,-117.453,7.78,1.65,ml,25,67,0.04077,0.21,ci,ci38688231,2019-08-03T14:45:31.120Z,"16km SSW of Searles Valley, CA",earthquake,0.38,0.61,0.239,19,automatic,ci,ci
2019-08-03T14:25:42.630Z,35.5571667,-117.3863333,3.25,1.24,ml,23,50,0.03674,0.22,ci,ci38688183,2019-08-03T14:29:28.670Z,"23km S of Trona, CA",earthquake,0.38,0.43,0.097,16,automatic,ci,ci
2019-08-03T14:23:25.310Z,33.6495,-116.761,15.27,0.87,ml,18,136,0.05572,0.19,ci,ci38688175,2019-08-03T14:27:11.639Z,"11km SSW of Idyllwild, CA",earthquake,0.68,0.89,0.17,24,automatic,ci,ci
2019-08-03T14:21:06.450Z,45.8626667,-111.3736667,3.82,2.07,ml,12,86,0.309,0.17,mb,mb80355864,2019-08-03T16:48:39.500Z,"3km WNW of Manhattan, Montana",earthquake,0.45,12.25,0.051,8,reviewed,mb,mb
2019-08-03T14:20:01.760Z,45.856,-111.3673333,-1.59,2.03,ml,19,81,0.055,0.16,mb,mb80355859,2019-08-03T16:45:04.880Z,"2km W of Manhattan, Montana",earthquake,0.32,1.33,0.179,11,reviewed,mb,mb
2019-08-03T14:18:59.700Z,35.7081667,-117.5886667,4.73,1.64,ml,25,43,0.0874,0.19,ci,ci38688159,2019-08-03T14:29:24.000Z,"12km NE of Ridgecrest, CA",earthquake,0.29,0.75,0.133,26,automatic,ci,ci
2019-08-03T14:13:03.770Z,45.8586667,-111.3711667,7.07,1.73,ml,12,113,0.312,0.2,mb,mb80355854,2019-08-03T16:52:16.576Z,"3km W of Manhattan, Montana",earthquake,0.57,7.01,0.109,7,reviewed,mb,mb
2019-08-03T14:00:11.370Z,35.8925,-117.6591667,11.13,0.88,ml,10,169,0.12,0.15,ci,ci38688095,2019-08-03T14:03:52.498Z,"23km ESE of Little Lake, CA",earthquake,0.7,1.28,0.11,6,automatic,ci,ci
2019-08-03T13:55:23.480Z,36.099,-117.8705,4.46,1.2,ml,10,177,0.02245,0.14,ci,ci38688087,2019-08-03T13:58:59.290Z,"9km NE of Coso Junction, CA",earthquake,0.79,0.38,0.192,14,automatic,ci,ci
2019-08-03T13:52:42.240Z,36.0991667,-117.8691667,4.24,1.75,ml,20,96,0.02172,0.16,ci,ci38688079,2019-08-03T14:03:15.250Z,"9km NE of Coso Junction, CA",earthquake,0.36,0.45,0.159,26,automatic,ci,ci
2019-08-03T13:51:32.350Z,35.6743333,-117.5133333,8.36,1.05,ml,16,128,0.06918,0.2,ci,ci38688071,2019-08-03T13:55:15.440Z,"14km SW of Searles Valley, CA",earthquake,0.45,0.95,0.132,10,automatic,ci,ci
2019-08-03T13:49:01.120Z,45.8603333,-111.3673333,5.29,1.65,ml,13,87,0.31,0.2,mb,mb80355849,2019-08-03T16:56:01.183Z,"2km W of Manhattan, Montana",earthquake,0.56,11,0.084,7,reviewed,mb,mb
2019-08-03T13:42:50.530Z,36.7526665,-121.4876633,6.48,1.39,md,15,84,0.003328,0.19,nc,nc73241516,2019-08-03T15:37:03.021Z,"11km SSE of San Juan Bautista, CA",earthquake,0.61,0.59,0.23,8,automatic,nc,nc
2019-08-03T13:42:31.160Z,36.1068333,-117.879,4.22,1.42,ml,12,136,0.0223,0.11,ci,ci38688047,2019-08-03T13:46:16.387Z,"9km NE of Coso Junction, CA",earthquake,0.35,0.29,0.103,15,automatic,ci,ci
2019-08-03T13:42:13.630Z,45.8583333,-111.3603333,0.19,2.81,ml,22,85,0.05,0.18,mb,mb80355844,2019-08-03T16:08:47.507Z,"2km W of Manhattan, Montana",earthquake,0.34,1.4,0.147,18,reviewed,mb,mb
2019-08-03T13:40:32.440Z,35.6836667,-117.5488333,7.2,1.65,ml,27,56,0.06367,0.18,ci,ci38688031,2019-08-03T13:51:09.390Z,"13km ENE of Ridgecrest, CA",earthquake,0.31,0.75,0.169,25,automatic,ci,ci
2019-08-03T13:38:51.490Z,34.0155,-117.5138333,2.91,0.92,ml,19,101,0.04116,0.15,ci,ci38688023,2019-08-03T13:42:35.367Z,"3km N of Mira Loma, CA",earthquake,0.24,0.26,0.193,23,automatic,ci,ci
2019-08-03T13:38:35.350Z,33.3723333,-118.3236667,9.13,1.95,ml,6,215,0.4091,0.14,ci,ci38688015,2019-08-03T13:42:39.366Z,"3km N of Avalon, CA",earthquake,1.25,31.61,0.489,29,automatic,ci,ci
2019-08-03T13:37:55.887Z,45.872,-111.3388,5,3.5,ml,,90,0.342,0.55,us,us60005067,2019-08-03T18:09:50.088Z,"1km NNW of Manhattan, Montana",earthquake,1.1,1.9,0.066,30,reviewed,us,us
2019-08-03T13:31:12.600Z,35.6633333,-117.4826667,6.5,0.87,ml,17,120,0.04807,0.13,ci,ci38687999,2019-08-03T13:34:52.316Z,"14km SSW of Searles Valley, CA",earthquake,0.38,0.59,0.216,7,automatic,ci,ci
2019-08-03T13:29:26.000Z,35.718,-117.6021667,21,0.62,ml,7,148,0.09946,0.12,ci,ci38687991,2019-08-03T13:33:15.124Z,"13km NNE of Ridgecrest, CA",earthquake,0.68,0.89,0.092,6,automatic,ci,ci
